job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
Robotics Engineer,201912,USD,EX,FT,Israel,L,Israel,100,"GCP, R, PyTorch, Spark, Mathematics",PhD,18,Energy,2025-03-11,2025-04-03,1298,5.7,DataVision Ltd
Head of AI,89825,USD,SE,CT,China,L,China,0,"NLP, SQL, Kubernetes",Master,5,Retail,2024-10-01,2024-10-18,1647,5.5,Future Systems
Robotics Engineer,169548,EUR,EX,PT,France,M,France,100,"R, Linux, AWS",PhD,12,Government,2024-09-20,2024-11-21,1518,5.4,DeepTech Ventures
Data Engineer,105421,USD,MI,PT,Ireland,M,Netherlands,50,"R, SQL, Statistics, Java, Data Visualization",Master,4,Manufacturing,2024-10-18,2024-12-20,1129,5.0,Advanced Robotics
Deep Learning Engineer,90442,USD,EN,PT,Switzerland,S,Switzerland,100,"AWS, Java, GCP, Git, SQL",Bachelor,0,Automotive,2024-09-28,2024-12-02,2378,6.9,Quantum Computing Inc
Deep Learning Engineer,78389,EUR,MI,CT,France,S,France,50,"R, Java, Deep Learning, Statistics, Docker",Master,4,Energy,2025-04-30,2025-06-14,2477,5.9,DeepTech Ventures
Principal Data Scientist,83457,USD,MI,FL,Japan,L,Canada,0,"GCP, Kubernetes, Computer Vision, Mathematics",Associate,3,Transportation,2024-01-19,2024-02-12,1591,9.7,AI Innovations
Data Analyst,86493,USD,MI,FT,Japan,L,Japan,0,"Hadoop, R, Scala, Java, NLP",PhD,2,Retail,2024-07-05,2024-09-05,2168,8.5,Quantum Computing Inc
AI Architect,202463,EUR,EX,CT,France,L,France,50,"R, Statistics, Tableau",Associate,18,Retail,2024-05-07,2024-06-08,2361,5.1,TechCorp Inc
AI Consultant,100060,EUR,MI,CT,Germany,M,Germany,50,"Hadoop, SQL, Tableau, Kubernetes, AWS",Master,3,Healthcare,2024-03-30,2024-05-03,1426,9.1,Predictive Systems
Data Engineer,70644,USD,EN,FL,Sweden,M,Sweden,100,"Python, TensorFlow, Deep Learning",Master,1,Consulting,2025-03-14,2025-04-20,2323,7.4,Future Systems
AI Product Manager,89115,USD,SE,CT,South Korea,M,South Korea,50,"MLOps, Python, Linux, NLP",Master,7,Energy,2025-03-22,2025-05-19,684,6.3,Neural Networks Co
Principal Data Scientist,117235,USD,SE,FL,Ireland,M,Ireland,50,"Scala, Git, Azure",PhD,6,Government,2025-01-24,2025-03-30,1962,7.4,Autonomous Tech
AI Consultant,119352,USD,EX,FT,Israel,S,Australia,0,"Java, Spark, Deep Learning, Git",Associate,17,Technology,2024-07-06,2024-07-22,1855,5.8,Machine Intelligence Group
Robotics Engineer,63105,USD,MI,FL,Japan,M,Japan,50,"Kubernetes, Computer Vision, Java",PhD,3,Government,2025-01-11,2025-02-13,1362,8.9,Predictive Systems
Computer Vision Engineer,58844,USD,EN,PT,United States,S,Kenya,100,"SQL, Python, Mathematics",PhD,1,Technology,2024-03-15,2024-04-20,874,7.2,Digital Transformation LLC
Autonomous Systems Engineer,84766,EUR,EN,CT,Germany,L,France,0,"Java, Hadoop, Data Visualization, Linux",PhD,1,Gaming,2024-05-31,2024-07-11,2449,9.1,Future Systems
AI Research Scientist,150971,AUD,SE,CT,Australia,L,Australia,50,"SQL, Hadoop, Mathematics, Git, Docker",Associate,7,Real Estate,2025-01-16,2025-02-04,2333,7.3,Autonomous Tech
Robotics Engineer,88454,USD,SE,CT,Finland,S,Finland,0,"Docker, Hadoop, GCP, Java, Scala",PhD,7,Media,2025-04-25,2025-06-28,2354,5.2,Predictive Systems
Robotics Engineer,60440,USD,EN,PT,India,L,India,0,"Docker, MLOps, Python, Spark, NLP",Associate,1,Real Estate,2025-04-15,2025-05-31,1122,7.6,Algorithmic Solutions
AI Specialist,32078,USD,EN,FT,India,L,India,100,"Computer Vision, Tableau, GCP",Associate,0,Consulting,2025-04-16,2025-06-14,2105,5.5,Autonomous Tech
Autonomous Systems Engineer,71392,EUR,EN,FT,Austria,M,Austria,50,"GCP, Java, Kubernetes, Spark",PhD,1,Finance,2024-02-23,2024-04-28,1661,5.7,Neural Networks Co
Data Scientist,66222,USD,SE,FT,South Korea,S,South Korea,0,"TensorFlow, R, Computer Vision, Java, Data Visualization",Bachelor,6,Government,2024-02-22,2024-04-10,1500,8.1,Machine Intelligence Group
Robotics Engineer,39952,USD,MI,PT,China,S,China,100,"Statistics, R, Docker, Deep Learning",Master,4,Manufacturing,2024-12-22,2025-01-12,2188,7.8,TechCorp Inc
Deep Learning Engineer,73953,USD,MI,FL,Japan,L,Japan,0,"Tableau, Python, Data Visualization, Statistics",PhD,4,Retail,2025-01-01,2025-02-02,929,8.5,DeepTech Ventures
Principal Data Scientist,202772,USD,EX,CT,Ireland,S,Ireland,100,"Computer Vision, Docker, Statistics",Associate,11,Telecommunications,2025-02-06,2025-04-08,514,5.3,Digital Transformation LLC
Computer Vision Engineer,90085,GBP,MI,CT,United Kingdom,M,United Kingdom,0,"Linux, Git, R, Python",Associate,3,Government,2024-03-06,2024-04-23,2417,5.2,Cognitive Computing
Computer Vision Engineer,80148,USD,EN,CT,United States,S,United States,50,"Kubernetes, TensorFlow, Computer Vision, Hadoop, Linux",PhD,1,Transportation,2024-10-28,2024-12-23,1220,6.7,DataVision Ltd
AI Software Engineer,95065,USD,MI,FL,Norway,S,Norway,100,"Linux, Kubernetes, Scala, GCP, Statistics",Bachelor,2,Automotive,2024-02-12,2024-03-04,967,9.6,Quantum Computing Inc
Research Scientist,178868,EUR,EX,FT,France,L,Japan,0,"Linux, Data Visualization, Python, Git, R",PhD,14,Consulting,2024-03-07,2024-05-05,2185,8.4,Digital Transformation LLC
AI Specialist,114519,USD,MI,FT,Australia,L,Australia,100,"Kubernetes, Linux, Python, Git, Azure",Master,3,Technology,2024-10-14,2024-12-15,2075,8.9,Predictive Systems
Autonomous Systems Engineer,65919,GBP,EN,FT,United Kingdom,S,United Kingdom,0,"Docker, Spark, NLP",Bachelor,0,Retail,2025-02-23,2025-04-01,745,9.2,Digital Transformation LLC
Machine Learning Engineer,180518,USD,SE,FL,Switzerland,M,Switzerland,0,"Deep Learning, TensorFlow, Docker, Linux",Associate,8,Real Estate,2024-04-17,2024-05-18,1679,7.0,Predictive Systems
Computer Vision Engineer,130492,USD,SE,FT,Ireland,S,Egypt,0,"Python, Data Visualization, Kubernetes",Associate,8,Education,2024-02-16,2024-03-26,1900,7.4,Neural Networks Co
Machine Learning Researcher,87123,EUR,MI,PT,Germany,L,Germany,0,"Scala, Data Visualization, Statistics",Associate,4,Energy,2025-03-20,2025-05-13,1316,6.3,Cloud AI Solutions
Principal Data Scientist,63121,USD,EN,PT,Sweden,M,Sweden,100,"Git, Azure, Spark",PhD,1,Consulting,2024-06-08,2024-07-24,1917,6.4,DeepTech Ventures
Robotics Engineer,61777,USD,EN,CT,Australia,M,Australia,0,"Statistics, Java, MLOps, Tableau, SQL",Bachelor,0,Retail,2024-08-16,2024-09-10,1348,6.8,Autonomous Tech
Data Scientist,82157,USD,SE,PT,Finland,S,Finland,0,"Computer Vision, Scala, Hadoop, R, Mathematics",Master,7,Finance,2024-08-19,2024-09-12,1623,5.2,Algorithmic Solutions
Principal Data Scientist,73348,USD,MI,PT,Canada,S,Singapore,0,"Spark, Python, SQL",PhD,2,Media,2025-03-30,2025-04-27,1443,9.2,Algorithmic Solutions
Data Engineer,74497,USD,SE,FT,Ireland,M,Ireland,0,"Kubernetes, Spark, NLP, TensorFlow, SQL",Associate,8,Telecommunications,2024-11-28,2025-01-31,902,8.9,Smart Analytics
AI Research Scientist,86167,USD,MI,PT,Singapore,M,Singapore,0,"Linux, GCP, Data Visualization, SQL, NLP",Master,2,Education,2024-04-29,2024-06-16,1097,7.0,AI Innovations
Machine Learning Researcher,259032,EUR,EX,FT,Netherlands,L,Netherlands,50,"Python, SQL, R",Associate,18,Government,2025-04-20,2025-07-01,2247,9.6,TechCorp Inc
Research Scientist,73042,USD,SE,FT,China,M,Japan,0,"Docker, Computer Vision, SQL, GCP",PhD,8,Automotive,2024-08-08,2024-09-05,1085,6.9,Smart Analytics
Data Engineer,105379,EUR,SE,FL,Germany,S,Germany,50,"Python, Java, Scala, GCP, TensorFlow",Master,7,Finance,2025-04-14,2025-06-02,1788,8.1,Quantum Computing Inc
Machine Learning Engineer,29961,USD,EN,FT,China,S,Canada,100,"Data Visualization, Python, Kubernetes",Bachelor,1,Real Estate,2025-01-20,2025-02-15,1613,6.1,Future Systems
Robotics Engineer,134018,CAD,SE,PT,Canada,L,Thailand,50,"Python, Java, Data Visualization",Associate,6,Media,2024-01-08,2024-03-14,889,6.6,Predictive Systems
AI Architect,276436,USD,EX,FT,Switzerland,M,India,50,"Python, Spark, Docker",Master,14,Government,2024-07-26,2024-09-05,1018,6.6,Quantum Computing Inc
AI Consultant,84006,EUR,MI,CT,France,M,Brazil,0,"Deep Learning, SQL, Mathematics",Master,3,Real Estate,2024-06-20,2024-08-04,1656,6.9,Digital Transformation LLC
Head of AI,94069,USD,EN,FT,Norway,M,Norway,0,"R, TensorFlow, Java, Git, Python",Associate,1,Telecommunications,2024-09-14,2024-10-16,1036,7.7,DeepTech Ventures
Autonomous Systems Engineer,136075,GBP,SE,FT,United Kingdom,S,United Kingdom,50,"Spark, Java, NLP, GCP",PhD,5,Technology,2024-12-26,2025-02-03,956,7.7,DeepTech Ventures
AI Consultant,83025,USD,SE,CT,Finland,M,Switzerland,0,"Java, R, Spark, Computer Vision",PhD,5,Technology,2025-01-25,2025-03-14,1418,7.0,Autonomous Tech
Data Scientist,38446,USD,SE,PT,India,S,India,100,"Docker, Python, TensorFlow, GCP",Associate,9,Government,2024-10-08,2024-11-18,1097,5.3,TechCorp Inc
Head of AI,73503,EUR,EN,PT,France,L,France,100,"GCP, TensorFlow, Scala, Computer Vision, R",Associate,0,Government,2024-08-23,2024-10-17,2317,8.4,Neural Networks Co
Research Scientist,61361,EUR,EN,CT,Netherlands,M,France,50,"Python, Linux, NLP",Master,1,Telecommunications,2024-08-22,2024-10-09,2144,8.1,Advanced Robotics
Data Engineer,46310,USD,EN,CT,China,L,China,100,"SQL, TensorFlow, Kubernetes, Python",PhD,1,Energy,2024-03-30,2024-05-07,687,7.9,Neural Networks Co
Machine Learning Engineer,81534,USD,SE,PT,Austria,M,Austria,0,"Data Visualization, Docker, Linux",Master,7,Technology,2024-08-31,2024-09-24,1623,6.9,Digital Transformation LLC
Robotics Engineer,152016,GBP,SE,PT,United Kingdom,M,United Kingdom,100,"Hadoop, Docker, Statistics, Tableau, GCP",Associate,5,Government,2024-03-04,2024-04-04,1309,7.4,Cloud AI Solutions
Robotics Engineer,55014,USD,MI,CT,China,L,Ireland,0,"R, Python, Tableau",PhD,2,Healthcare,2024-08-13,2024-10-02,2362,9.8,Autonomous Tech
Head of AI,107754,USD,SE,PT,South Korea,S,South Korea,100,"Python, Scala, Linux",Master,9,Energy,2024-08-20,2024-09-20,1052,8.4,Cognitive Computing
Autonomous Systems Engineer,92009,USD,SE,CT,India,S,India,100,"TensorFlow, R, MLOps",Bachelor,5,Retail,2024-10-24,2024-12-12,672,7.5,Cognitive Computing
AI Architect,125774,USD,SE,PT,Canada,M,Ireland,100,"Python, Git, Docker",PhD,6,Finance,2024-04-25,2024-06-22,1935,8.2,Machine Intelligence Group
Head of AI,71867,USD,MI,PT,Finland,L,Finland,100,"SQL, GCP, Spark, NLP",Associate,3,Real Estate,2024-04-14,2024-05-10,1932,9.5,Cloud AI Solutions
NLP Engineer,106735,USD,MI,FT,United States,S,South Korea,100,"Tableau, Python, Kubernetes, Azure",Master,4,Healthcare,2024-06-17,2024-07-24,508,5.6,Algorithmic Solutions
AI Architect,116877,EUR,SE,FT,France,M,Denmark,100,"PyTorch, SQL, Kubernetes",Master,9,Energy,2024-01-21,2024-03-13,1398,6.7,Smart Analytics
Data Engineer,260042,EUR,EX,FT,Germany,L,Austria,100,"SQL, Git, Kubernetes",PhD,15,Media,2024-11-03,2024-12-18,1493,8.5,DeepTech Ventures
Autonomous Systems Engineer,71970,AUD,EN,FT,Australia,S,Australia,100,"R, Hadoop, NLP, SQL, Java",Master,0,Consulting,2025-03-22,2025-05-05,1066,6.9,Future Systems
AI Consultant,113261,USD,MI,PT,Sweden,L,Sweden,0,"Tableau, Python, GCP, TensorFlow",PhD,4,Real Estate,2024-12-04,2025-01-12,1918,8.7,Autonomous Tech
Head of AI,77351,CAD,MI,PT,Canada,M,Italy,0,"PyTorch, TensorFlow, MLOps",Associate,2,Finance,2024-03-15,2024-04-25,1356,9.2,Cloud AI Solutions
Data Analyst,44658,USD,EN,FL,Finland,S,Finland,0,"AWS, PyTorch, Tableau",Bachelor,1,Energy,2024-08-26,2024-10-14,1578,9.3,Smart Analytics
ML Ops Engineer,55724,GBP,EN,CT,United Kingdom,S,United Kingdom,100,"Tableau, Data Visualization, Scala, Hadoop, NLP",PhD,1,Government,2024-12-21,2025-01-22,1163,7.6,Machine Intelligence Group
AI Architect,71812,USD,MI,CT,Canada,M,Austria,100,"Python, MLOps, Scala, Computer Vision, TensorFlow",Associate,3,Healthcare,2025-01-23,2025-03-16,2249,7.9,Machine Intelligence Group
Computer Vision Engineer,350761,USD,EX,FT,Denmark,L,Denmark,100,"GCP, Kubernetes, NLP, Java, Azure",Bachelor,11,Finance,2024-10-01,2024-12-10,1638,9.7,TechCorp Inc
Deep Learning Engineer,192002,EUR,EX,FT,France,S,Japan,50,"MLOps, Java, Linux, Hadoop, PyTorch",PhD,15,Education,2024-08-21,2024-09-19,1600,8.8,DataVision Ltd
Computer Vision Engineer,57164,USD,EN,FT,Israel,L,Israel,50,"Azure, Java, Git, Computer Vision, Python",Master,1,Government,2024-05-08,2024-06-05,1916,9.1,DeepTech Ventures
Data Engineer,53652,USD,EN,CT,Israel,S,Israel,0,"Azure, TensorFlow, SQL, Java",Bachelor,0,Finance,2024-01-10,2024-03-06,1224,5.8,Machine Intelligence Group
AI Software Engineer,43117,USD,EN,FT,Israel,M,Israel,50,"Python, TensorFlow, Git",Bachelor,1,Gaming,2024-01-08,2024-02-15,1133,10.0,Quantum Computing Inc
Research Scientist,255678,USD,EX,CT,United States,M,Australia,0,"SQL, Statistics, Mathematics, TensorFlow, GCP",Bachelor,18,Telecommunications,2024-04-12,2024-06-08,2029,7.3,DataVision Ltd
AI Specialist,96701,AUD,MI,FT,Australia,L,Australia,0,"PyTorch, Hadoop, Git",Master,4,Technology,2024-07-20,2024-09-30,1167,9.2,Predictive Systems
ML Ops Engineer,79173,EUR,EN,CT,France,L,France,50,"Spark, Deep Learning, Python, Computer Vision",PhD,0,Energy,2025-01-10,2025-03-19,1994,7.1,Quantum Computing Inc
Data Scientist,74131,AUD,EN,CT,Australia,M,Australia,0,"Spark, Hadoop, Tableau, Mathematics",Master,1,Transportation,2024-01-15,2024-03-05,951,8.9,Neural Networks Co
Head of AI,125238,AUD,SE,PT,Australia,S,Japan,0,"Deep Learning, AWS, R, Python",Master,5,Gaming,2024-01-16,2024-02-18,2338,6.0,Digital Transformation LLC
AI Architect,76731,CAD,EN,FT,Canada,L,Canada,0,"Azure, Kubernetes, Git",Associate,0,Real Estate,2024-03-12,2024-04-19,1818,8.1,Machine Intelligence Group
AI Consultant,89924,USD,MI,CT,Finland,S,Finland,0,"Azure, Docker, Deep Learning",Master,3,Media,2024-11-17,2025-01-10,844,9.8,Digital Transformation LLC
Data Analyst,129214,USD,MI,FT,Denmark,M,Denmark,0,"Linux, TensorFlow, PyTorch",PhD,4,Energy,2024-09-20,2024-10-21,1084,9.0,Autonomous Tech
ML Ops Engineer,85296,USD,MI,CT,Finland,S,India,100,"Deep Learning, Data Visualization, Python, Hadoop",PhD,3,Finance,2024-11-10,2024-12-17,2034,7.6,Future Systems
Data Scientist,120736,USD,MI,FL,Ireland,L,Israel,0,"Azure, Linux, NLP",Associate,3,Energy,2024-11-08,2025-01-02,2417,6.0,Autonomous Tech
AI Specialist,156725,USD,EX,CT,South Korea,L,Sweden,0,"AWS, Kubernetes, NLP",Associate,19,Media,2024-07-13,2024-09-02,1293,5.0,Advanced Robotics
Robotics Engineer,132763,SGD,SE,CT,Singapore,S,Singapore,50,"Hadoop, Tableau, R, Deep Learning",Associate,6,Manufacturing,2024-03-19,2024-05-10,1912,7.5,DeepTech Ventures
Data Engineer,57458,USD,MI,CT,Israel,S,Denmark,50,"MLOps, NLP, Java, Docker",Associate,4,Finance,2024-06-10,2024-07-18,2200,8.1,Smart Analytics
Robotics Engineer,242941,USD,EX,CT,Canada,L,Canada,0,"Kubernetes, Linux, Tableau",PhD,11,Manufacturing,2025-01-15,2025-02-11,678,9.8,Cognitive Computing
NLP Engineer,133778,USD,SE,FL,Canada,M,Canada,50,"SQL, Python, NLP",PhD,9,Automotive,2024-01-15,2024-02-10,2207,6.2,Advanced Robotics
Machine Learning Researcher,115266,USD,SE,PT,Finland,L,Denmark,0,"Kubernetes, R, Tableau",Bachelor,6,Transportation,2024-08-08,2024-10-06,1649,9.6,DataVision Ltd
Data Analyst,73257,EUR,MI,CT,Austria,M,Austria,100,"AWS, PyTorch, Spark, Statistics",Bachelor,2,Education,2024-05-28,2024-07-25,1845,9.4,AI Innovations
AI Architect,194946,USD,EX,CT,Ireland,L,Ireland,0,"Linux, Statistics, NLP",Bachelor,15,Finance,2025-01-06,2025-03-13,2056,9.1,DataVision Ltd
Data Analyst,86228,AUD,MI,CT,Australia,M,Switzerland,0,"Statistics, Spark, GCP, Git",PhD,2,Real Estate,2024-06-17,2024-07-02,1626,6.6,Neural Networks Co
Data Analyst,57872,EUR,EN,FT,France,S,Czech Republic,50,"Scala, Docker, Statistics, Spark",Master,1,Healthcare,2024-12-22,2025-01-06,1208,9.7,Cognitive Computing
AI Software Engineer,210609,USD,EX,FT,Sweden,S,Sweden,100,"Spark, Java, Python, Statistics",PhD,10,Manufacturing,2024-11-15,2025-01-26,1266,5.6,Neural Networks Co
AI Research Scientist,95569,EUR,MI,CT,Germany,S,Germany,50,"Scala, Deep Learning, Azure, Python",PhD,2,Government,2024-11-28,2025-01-01,709,7.9,Machine Intelligence Group
AI Specialist,87729,USD,SE,FT,Ireland,M,United Kingdom,0,"Kubernetes, Scala, Deep Learning",Master,7,Government,2024-06-20,2024-08-03,523,9.4,Quantum Computing Inc
ML Ops Engineer,64100,EUR,MI,CT,France,S,France,100,"Azure, AWS, Linux, Deep Learning, Data Visualization",Associate,4,Education,2024-02-04,2024-03-17,2289,6.0,DeepTech Ventures
Data Scientist,41245,USD,SE,FL,India,M,India,0,"GCP, Spark, Java, Data Visualization",Bachelor,8,Finance,2024-10-22,2024-12-30,2167,6.3,Algorithmic Solutions
NLP Engineer,108322,USD,SE,FT,Israel,S,Israel,100,"Python, TensorFlow, MLOps",Associate,5,Government,2024-02-23,2024-04-06,1554,8.9,Predictive Systems
NLP Engineer,159567,EUR,EX,FT,France,S,France,0,"Deep Learning, Java, Python, TensorFlow, Kubernetes",PhD,10,Telecommunications,2025-02-16,2025-03-25,1595,7.1,Algorithmic Solutions
NLP Engineer,134083,USD,MI,FT,Denmark,L,Denmark,0,"Git, Scala, Data Visualization, Python, Computer Vision",PhD,4,Consulting,2024-01-25,2024-04-02,776,9.4,DeepTech Ventures
Principal Data Scientist,109357,EUR,MI,PT,Netherlands,L,Norway,0,"NLP, Git, Java, MLOps",Associate,4,Government,2025-02-01,2025-03-30,2304,6.7,Quantum Computing Inc
AI Architect,94779,CAD,SE,FT,Canada,S,Canada,100,"Scala, Java, Docker, Kubernetes, Data Visualization",Master,7,Media,2024-05-15,2024-07-19,2195,7.1,Advanced Robotics
ML Ops Engineer,115121,USD,SE,PT,Canada,S,Canada,50,"Statistics, PyTorch, Docker",Associate,5,Manufacturing,2024-05-17,2024-06-13,1628,8.1,Future Systems
ML Ops Engineer,62089,CAD,MI,CT,Canada,S,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,2024-03-18,2024-04-25,2264,9.7,Predictive Systems
Robotics Engineer,180163,SGD,SE,PT,Singapore,L,Singapore,100,"Kubernetes, SQL, Linux",Associate,9,Technology,2024-09-26,2024-10-14,2472,6.0,Machine Intelligence Group
Data Analyst,52027,USD,MI,PT,South Korea,M,South Korea,0,"Kubernetes, Linux, Tableau, MLOps, Statistics",Master,2,Retail,2024-04-18,2024-05-18,2036,5.7,Smart Analytics
AI Software Engineer,88921,CAD,MI,CT,Canada,S,Canada,100,"SQL, Kubernetes, Azure, Hadoop",PhD,3,Technology,2024-09-01,2024-09-21,1630,8.8,Advanced Robotics
Deep Learning Engineer,88857,EUR,MI,FL,Germany,L,Germany,0,"TensorFlow, Kubernetes, Linux",PhD,4,Transportation,2024-06-03,2024-07-12,1126,5.2,TechCorp Inc
Machine Learning Researcher,178197,USD,SE,PT,Denmark,M,Colombia,0,"MLOps, Python, TensorFlow",Master,7,Media,2024-05-29,2024-07-07,2093,8.1,Cognitive Computing
Autonomous Systems Engineer,118826,USD,MI,FT,Finland,L,Finland,0,"Kubernetes, Docker, R",Associate,4,Education,2024-05-17,2024-06-12,1146,8.2,DataVision Ltd
Data Analyst,325119,USD,EX,CT,United States,L,United States,0,"PyTorch, TensorFlow, Linux",Associate,13,Transportation,2025-02-27,2025-05-03,2152,8.2,DataVision Ltd
AI Architect,243649,CHF,SE,CT,Switzerland,L,Switzerland,50,"R, NLP, Python, Azure",Bachelor,6,Telecommunications,2024-11-25,2024-12-22,734,7.0,Future Systems
Computer Vision Engineer,140520,EUR,SE,CT,France,M,Netherlands,50,"Hadoop, Kubernetes, Python",Master,9,Automotive,2024-08-26,2024-09-25,1711,5.3,Cognitive Computing
Data Analyst,23410,USD,EN,CT,China,S,China,0,"Java, Kubernetes, NLP",PhD,0,Finance,2024-07-23,2024-09-07,1946,6.1,Advanced Robotics
AI Architect,134380,GBP,SE,CT,United Kingdom,L,United Kingdom,100,"Git, Azure, Statistics, NLP",PhD,5,Telecommunications,2025-03-04,2025-04-12,2293,5.6,TechCorp Inc
Data Engineer,140999,EUR,SE,CT,Germany,L,Germany,0,"TensorFlow, Python, Hadoop",Master,6,Government,2024-04-19,2024-05-24,969,5.3,DataVision Ltd
Data Engineer,113440,USD,SE,PT,South Korea,M,Luxembourg,50,"AWS, Tableau, Kubernetes, Docker",Bachelor,9,Automotive,2024-08-20,2024-09-14,2313,9.9,Autonomous Tech
AI Product Manager,86393,EUR,EN,CT,Netherlands,L,Ukraine,50,"TensorFlow, Azure, Computer Vision",Associate,1,Automotive,2025-01-02,2025-02-15,1735,5.6,Quantum Computing Inc
NLP Engineer,97775,EUR,MI,FL,Germany,L,Germany,100,"Spark, Statistics, Git",Associate,2,Education,2025-01-05,2025-03-17,1419,8.2,Quantum Computing Inc
AI Architect,51326,USD,MI,FT,China,M,China,100,"Hadoop, Python, Statistics",Master,2,Education,2024-02-15,2024-04-20,2089,8.1,AI Innovations
Machine Learning Engineer,180825,GBP,SE,FT,United Kingdom,L,Russia,0,"SQL, Scala, NLP, Statistics, PyTorch",Master,5,Healthcare,2024-02-07,2024-03-17,2210,7.4,Neural Networks Co
AI Product Manager,126213,USD,SE,CT,Sweden,S,Sweden,50,"Deep Learning, Azure, NLP, AWS, Docker",Bachelor,8,Gaming,2024-12-21,2025-02-14,2452,6.0,Cloud AI Solutions
AI Consultant,164620,USD,SE,FT,Norway,L,Norway,0,"Tableau, Java, R, Spark",Associate,6,Education,2024-05-26,2024-08-03,1061,9.3,Machine Intelligence Group
AI Product Manager,130494,JPY,MI,FT,Japan,L,Japan,0,"Kubernetes, TensorFlow, Python",Bachelor,4,Technology,2025-01-27,2025-04-06,1863,7.8,Quantum Computing Inc
Machine Learning Researcher,56018,USD,EN,PT,Australia,M,Australia,0,"Docker, Computer Vision, Deep Learning, Python",Associate,1,Technology,2024-07-05,2024-08-21,2114,6.1,TechCorp Inc
AI Research Scientist,84328,USD,SE,CT,Ireland,M,Norway,0,"AWS, Tableau, Docker",Bachelor,9,Retail,2025-04-16,2025-05-21,1398,9.4,DeepTech Ventures
AI Specialist,173893,USD,SE,CT,Norway,M,Norway,0,"AWS, Mathematics, Python",Master,6,Gaming,2024-05-27,2024-08-03,1454,5.5,Cloud AI Solutions
AI Specialist,158422,EUR,EX,PT,Germany,M,Germany,50,"Python, Mathematics, TensorFlow",PhD,19,Consulting,2024-06-19,2024-08-12,732,7.7,Quantum Computing Inc
Principal Data Scientist,79579,USD,MI,FT,Sweden,M,Sweden,0,"Linux, Python, GCP",PhD,4,Media,2025-01-16,2025-03-01,1594,6.1,DeepTech Ventures
AI Architect,46549,USD,MI,PT,Japan,S,Japan,100,"MLOps, GCP, PyTorch, Linux, Hadoop",Master,4,Automotive,2025-01-21,2025-02-25,1980,9.0,Advanced Robotics
ML Ops Engineer,64131,USD,MI,FT,Japan,S,Japan,100,"Deep Learning, Java, Git, Kubernetes",Master,2,Retail,2024-12-09,2025-02-19,1990,9.0,Cloud AI Solutions
AI Software Engineer,130547,JPY,MI,CT,Japan,L,Japan,100,"PyTorch, GCP, Kubernetes, AWS",PhD,2,Media,2025-02-03,2025-03-02,1276,6.2,TechCorp Inc
AI Software Engineer,251411,EUR,EX,CT,Germany,L,Germany,100,"Python, Kubernetes, TensorFlow, GCP, Scala",Master,11,Retail,2024-02-07,2024-04-13,581,8.3,Autonomous Tech
Head of AI,105339,CHF,EN,CT,Switzerland,M,Switzerland,0,"PyTorch, Git, Deep Learning, Data Visualization",Master,0,Healthcare,2024-08-02,2024-08-24,876,8.0,Algorithmic Solutions
Principal Data Scientist,71086,USD,MI,FL,Finland,S,Finland,0,"Hadoop, Azure, NLP, PyTorch, TensorFlow",Associate,2,Telecommunications,2025-04-12,2025-06-07,2412,6.7,TechCorp Inc
Machine Learning Researcher,171321,USD,EX,CT,Singapore,L,Singapore,0,"Tableau, Linux, Python, Hadoop, GCP",Master,13,Finance,2024-06-04,2024-07-19,1044,7.6,Autonomous Tech
Data Analyst,130494,USD,EX,CT,India,M,Ireland,0,"Tableau, R, Statistics, Python",Master,12,Government,2024-08-01,2024-08-21,2412,6.5,Autonomous Tech
Robotics Engineer,81590,CAD,MI,CT,Canada,S,Netherlands,50,"Hadoop, Kubernetes, Mathematics",Associate,3,Government,2024-09-05,2024-11-03,1546,7.3,Cloud AI Solutions
AI Architect,20587,USD,EN,FL,India,M,Estonia,0,"Kubernetes, R, Computer Vision, Deep Learning",Associate,1,Energy,2024-12-05,2024-12-22,773,8.9,Algorithmic Solutions
AI Software Engineer,133495,USD,EX,FT,Singapore,S,Singapore,50,"Kubernetes, Linux, SQL, Computer Vision",PhD,13,Technology,2024-09-21,2024-10-11,2114,9.2,Future Systems
Head of AI,112409,EUR,SE,CT,Germany,S,Germany,0,"Kubernetes, Python, Tableau",Bachelor,6,Transportation,2024-05-09,2024-05-25,733,9.1,Algorithmic Solutions
Principal Data Scientist,135853,USD,SE,PT,Canada,L,Canada,50,"Python, MLOps, AWS, Tableau",Bachelor,5,Transportation,2024-10-22,2024-12-15,2023,8.9,DeepTech Ventures
ML Ops Engineer,59728,USD,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd
AI Consultant,58772,USD,MI,FT,India,S,Singapore,0,"Linux, Spark, Docker",Associate,4,Transportation,2024-10-04,2024-12-11,2049,7.1,Algorithmic Solutions
AI Consultant,107626,USD,SE,CT,Ireland,L,Ireland,0,"SQL, Azure, TensorFlow",Master,6,Government,2024-07-10,2024-09-18,832,5.9,Algorithmic Solutions
